Position,Level,Salary
1,1.0,15.82
2,1.1,10.92
3,1.2,17.4
4,1.3,24.59
5,1.4,10.72
6,1.5,10.91
7,1.59,25.61
8,1.69,19.31
9,1.79,9.61
10,1.89,17.9
11,1.99,10.04
12,2.09,10.22
13,2.19,16.08
14,2.29,-0.97
15,2.39,0.73
16,2.49,10.23
17,2.59,6.83
18,2.68,17.64
19,2.78,8.06
20,2.88,4.23
21,2.98,27.45
22,3.08,14.12
23,3.18,16.67
24,3.28,4.94
25,3.38,12.18
26,3.48,17.63
27,3.58,7.74
28,3.68,20.16
29,3.77,12.55
30,3.87,15.23
31,3.97,12.96
32,4.07,32.8
33,4.17,18.08
34,4.27,9.94
35,4.37,25.19
36,4.47,9.05
37,4.57,20.7
38,4.67,3.56
39,4.77,8.82
40,4.86,21.24
41,4.96,25.78
42,5.06,21.46
43,5.16,19.37
44,5.26,18.1
45,5.36,8.9
46,5.46,15.18
47,5.56,17.47
48,5.66,29.83
49,5.76,24.34
50,5.86,7.7
51,5.95,24.62
52,6.05,19.16
53,6.15,17.04
54,6.25,27.57
55,6.35,31.14
56,6.45,30.57
57,6.55,16.62
58,6.65,21.08
59,6.75,26.43
60,6.85,31.8
61,6.95,20.38
62,7.05,22.95
63,7.14,15.81
64,7.24,15.31
65,7.34,31.61
66,7.44,36.18
67,7.54,24.98
68,7.64,33.81
69,7.74,28.89
70,7.84,21.06
71,7.94,29.34
72,8.04,38.98
73,8.14,26.61
74,8.23,39.64
75,8.33,6.4
76,8.43,34.16
77,8.53,28.5
78,8.63,25.64
79,8.73,29.0
80,8.83,12.59
81,8.93,26.96
82,9.03,31.8
83,9.13,41.0
84,9.23,25.26
85,9.32,23.16
86,9.42,25.85
87,9.52,37.41
88,9.62,32.95
89,9.72,26.31
90,9.82,34.89
91,9.92,31.79
92,10.02,38.99
93,10.12,25.86
94,10.22,29.08
95,10.32,28.8
96,10.41,20.46
97,10.51,34.77
98,10.61,34.72
99,10.71,32.91
100,10.81,31.22
101,10.91,22.01
102,11.01,30.2
103,11.11,31.05
104,11.21,27.61
105,11.31,32.97
106,11.41,37.73
107,11.5,49.82
108,11.6,36.36
109,11.7,37.26
110,11.8,34.84
111,11.9,20.32
112,12.0,35.69
113,12.1,36.62
114,12.2,56.08
115,12.3,35.07
116,12.4,39.26
117,12.5,36.8
118,12.59,27.97
119,12.69,46.69
120,12.79,43.8
121,12.89,44.35
122,12.99,30.98
123,13.09,49.72
124,13.19,27.52
125,13.29,43.66
126,13.39,56.73
127,13.49,31.52
128,13.59,35.15
129,13.68,40.71
130,13.78,36.13
131,13.88,27.99
132,13.98,41.18
133,14.08,32.37
134,14.18,44.89
135,14.28,33.99
136,14.38,53.98
137,14.48,35.55
138,14.58,39.48
139,14.68,48.8
140,14.77,32.69
141,14.87,44.59
142,14.97,53.47
143,15.07,30.39
144,15.17,44.96
145,15.27,45.81
146,15.37,50.22
147,15.47,34.31
148,15.57,33.88
149,15.67,48.86
150,15.77,47.3
151,15.86,47.16
152,15.96,48.17
153,16.06,40.2
154,16.16,47.74
155,16.26,48.46
156,16.36,40.64
